"","Parameter","Estimate","SE","95% Credible Interval"
"1","L_inf",383.703969857068,5.61424755199343,"(373.62, 395.78)"
"2","k",0.086280491024936,0.0102978699926346,"(0.07, 0.11)"
"4","t0",-39.2667918957526,6.20477961020399,"(-52.2, -27.84)"
"5","sig",0.0504153772752738,0.00217760712638412,"(0.05, 0.06)"
