"","12/19/23 vs. 12/28/23","12/28/23 vs. 1/3/24","12/19/23 vs. 1/3/24"
"","Length","",""
"All fish","0.99","0.14","0.13"
"Males","0.77","0.03*","0.08"
"Females","0.92","0.64","0.92"
"","","",""
"","Age","",""
"All fish","0.79","0.9","0.23"
"Males","0.32","0.03*","0.08"
"Females","0.65","0.07","0.07"
