"","n","phat","se_phat","n_length","mn_length","se_length","min_length","max_length"
"[5,10)",38,0.133333333333333,0.0201714094450149,38,322.526315789474,2.49001900685282,250,341
"[10,15)",87,0.305263157894737,0.0273267630725666,87,334.64367816092,1.52585986656581,304,419
"[15,20)",86,0.301754385964912,0.0272377816331516,86,344.883720930233,1.49412150477797,311,396
"[20,30)",61,0.214035087719298,0.0243380005532624,61,362.803278688525,2.91189567685014,323,439
"[30,40)",13,0.0456140350877193,0.0123808966447484,13,396,10.9321919354181,348,478
