"","Age","n","Mean","SD","SE"
"1","'5-9",38,322.526315789474,15.3495080335024,2.49001900685282
"2","'10-14",87,334.64367816092,14.2322733573548,1.52585986656581
"3","'15-19",86,344.883720930233,13.8559128212269,1.49412150477797
"4","'20-29",61,362.803278688525,22.7426322663928,2.91189567685014
"5","'30-39",13,396,39.4165785763639,10.9321919354181
