"","Parameter","Estimate","SE","95% Credible Interval"
"1","L_inf",412.915809266251,11.5915940939571,"(392.64, 437.5)"
"2","k",0.0447266519847725,0.0077527878441976,"(0.03, 0.06)"
"4","t0",-24.7577292533804,3.80067611341192,"(-32.59, -17.7)"
"5","sig",0.0488846442408467,0.0020989259112922,"(0.05, 0.05)"
