"","Parameter","Estimate","SE","95% Credible Interval"
"1","L_inf",423.858628205275,13.7486774636081,"(400.26, 453.86)"
"2","k",0.0469944448087811,0.00733354118694723,"(0.04, 0.06)"
"4","t0",-15.3534457693332,1.94938381708647,"(-19.51, -11.85)"
"5","sig",0.0483911159964194,0.00206085475263202,"(0.04, 0.05)"
