"","Parameter","Estimate","SE","95% Credible Interval"
"1","L_inf",418.340642324748,13.2709788817924,"(395.67, 446.88)"
"2","k",0.0366650867250862,0.00916133554468465,"(0.02, 0.06)"
"3","P",0.511646646243014,0.26106418990627,"(0.23, 1.21)"
"4","t0",-15.7729354424277,6.28641840471222,"(-29.04, -4.74)"
"5","sig",0.0488906587820575,0.00209654946705732,"(0.05, 0.05)"
